iter	Accuracy	Logloss
192	0.8962398806	0.2702948193
193	0.8963637637	0.2700406748
194	0.8964661018	0.2698295161
195	0.8965307365	0.2696009758
196	0.8966115297	0.2694024802
197	0.8966546195	0.2692048037
198	0.8967084817	0.26897409
199	0.8967731163	0.2687741161
200	0.8967677301	0.2685731432
201	0.8968431371	0.268381737
202	0.8968539096	0.2681739211
203	0.8969724064	0.2679641414
204	0.8969508615	0.2677351049
205	0.8970424272	0.2675354193
206	0.8969885651	0.2673237332
207	0.8970531997	0.2671331856
208	0.8971986276	0.2669285358
209	0.8972740347	0.2667315348
210	0.8974140763	0.2665370581
211	0.8974625523	0.2663416859
212	0.8975648905	0.2661461898
213	0.8976995459	0.2659315013
214	0.8977803392	0.2657370436
215	0.8978395876	0.265533823
216	0.8979796293	0.2653213098
217	0.8980388777	0.2651215366
218	0.8980819675	0.2649321055
219	0.8982273954	0.2647182637
220	0.8983458922	0.2645156212
221	0.8983620509	0.2642926687
222	0.8983728233	0.2641279198
223	0.8984697752	0.2639499361
224	0.8984428441	0.2637813729
225	0.8985344099	0.2635940661
226	0.8986690653	0.2634294722
227	0.8988037208	0.2632467157
228	0.8988521968	0.2630615244
229	0.8989437625	0.2629066449
230	0.8989437625	0.2627469673
231	0.8991053491	0.2625626692
232	0.8991376664	0.2624125922
233	0.8991215077	0.2622313487
234	0.8992076872	0.2620322853
235	0.8993854324	0.2618496602
236	0.8993369565	0.2616646384
237	0.899423136	0.2614769466
238	0.8995685639	0.2612912612
239	0.8995308603	0.2611041267
240	0.8997086056	0.2609290234
241	0.8997355367	0.2607671208
242	0.899843261	0.2605899087
243	0.8998863508	0.2604352437
244	0.8999886889	0.2602918479
245	0.90001562	0.2601272636
246	0.900064096	0.259933724
247	0.9001448893	0.2597685274
248	0.9001987515	0.2595886414
249	0.9003172483	0.2594284118
250	0.9003818829	0.2592714101
251	0.9004303589	0.2591167743
252	0.9005057659	0.2589634724
253	0.9005003797	0.2588282356
254	0.9005865592	0.2586722741
255	0.9007912355	0.2585061914
256	0.9007858493	0.2583558643
257	0.9008397115	0.2582048428
258	0.9009097324	0.2580632324
259	0.9009689808	0.2579000203
260	0.9009151186	0.2577552204
261	0.900974367	0.2576265926
262	0.9010120705	0.2574567882
263	0.9010336154	0.2573162345
264	0.9011521122	0.2571560649
265	0.9011682709	0.2570169695
266	0.9012975401	0.2568800713
267	0.9012329055	0.2567637367
268	0.9012329055	0.2566283184
269	0.9012921539	0.2564685811
270	0.9012759952	0.2563199592
271	0.9013837196	0.2561749066
272	0.901442968	0.2560342252
273	0.9015076026	0.2558869464
274	0.9015668511	0.2557506034
275	0.9016314857	0.2556135737
276	0.9016907341	0.2554980097
277	0.9017068927	0.2553521255
278	0.9016907341	0.2552330874
279	0.9018092309	0.2550836332
280	0.9018415482	0.2549441892
281	0.9019385002	0.254788333
282	0.9019546588	0.254649737
283	0.9019708175	0.2545213797
284	0.9020462245	0.2544083732
285	0.9021431765	0.2542694055
286	0.9021647213	0.2541207542
287	0.9022670595	0.2539897286
288	0.9023155355	0.2538574568
289	0.902353239	0.2537280787
290	0.9024232598	0.2535870015
291	0.9025094393	0.253458449
292	0.9025794602	0.2533255999
293	0.9026656397	0.2532081598
294	0.9027841365	0.2530578797
295	0.9028164538	0.2529309625
296	0.9028918609	0.2527964214
297	0.9029403369	0.2526713501
298	0.9029726542	0.2525454004
299	0.9030372888	0.2524173258
300	0.9030642199	0.2522760264
301	0.903091151	0.2521595538
302	0.9031180821	0.2520313845
303	0.9031288545	0.2519255081
304	0.903215034	0.2518060777
305	0.9031934891	0.2516750648
306	0.9032365789	0.2515399565
307	0.9033173722	0.251412773
308	0.9033981655	0.2512863302
309	0.9034250965	0.2511751358
310	0.9034897312	0.2510628878
311	0.9034951174	0.2509445605
312	0.903511276	0.2508037321
313	0.903511276	0.2506944203
314	0.9035489796	0.2505768147
315	0.9035651382	0.2504687235
316	0.903656704	0.2503575185
317	0.9036674764	0.2502142386
318	0.903656704	0.2500973653
319	0.9037159524	0.249958018
320	0.9037913594	0.2498460806
321	0.9038182905	0.2497330458
322	0.9038021319	0.2496165672
323	0.9038398354	0.2494985628
324	0.90390447	0.2493581574
325	0.9038667665	0.2492364224
326	0.90390447	0.2491181548
327	0.9039260149	0.2490058904
328	0.9040283531	0.2488946713
329	0.9040983739	0.2487781581
330	0.9041630085	0.2486324696
331	0.9041522361	0.248501209
332	0.9042545742	0.2483944887
333	0.9042276432	0.2482802633
334	0.9042707329	0.2481757391
335	0.9043138227	0.2480679234
336	0.9043784573	0.2479541605
337	0.904421547	0.247838224
338	0.9045131127	0.247737386
339	0.9045454301	0.2476199309
340	0.904642382	0.2475002916
341	0.9046369958	0.2473945603
342	0.9046316096	0.2472667567
343	0.9047447202	0.2471606543
344	0.9048255134	0.2470466971
345	0.904814741	0.2469290371
346	0.9048201272	0.2468364175
347	0.9049063067	0.2467359302
348	0.9049655551	0.2466394472
349	0.9049924862	0.2465342631
350	0.9050140311	0.2464264159
351	0.9050678933	0.246295647
352	0.905159459	0.2461917568
353	0.9052240936	0.2460947897
354	0.9051810039	0.2459793481
355	0.9052187074	0.2458785293
356	0.9053210456	0.2457712851
357	0.9054179975	0.2456670341
358	0.9054341562	0.2455576584
359	0.9054395424	0.2454500214
360	0.9054341562	0.2453562922
361	0.9055095632	0.2452593791
362	0.905504177	0.2451514198
363	0.9056549911	0.2450607941
364	0.9056711498	0.2449600371
365	0.9056926947	0.2448665356
366	0.9057196258	0.2447689035
367	0.9056603774	0.2446757124
368	0.9057411706	0.2445499522
369	0.9058812123	0.2444603038
370	0.9058865985	0.2443674976
371	0.9059081434	0.2442637783
372	0.9059296883	0.2441579473
373	0.9060050954	0.2440695334
374	0.9060643438	0.2439818889
375	0.9060374127	0.2438750402
376	0.9060805024	0.2437911373
377	0.9061020473	0.2437044665
378	0.906193613	0.2436092671
379	0.9061451371	0.2435187914
380	0.9061505233	0.2434220303
381	0.906242089	0.2433345982
382	0.9062636339	0.2432365504
383	0.9062636339	0.2431403217
384	0.9063336547	0.2430332602
385	0.906290565	0.2429225181
386	0.906414448	0.2428343855
387	0.906414448	0.2427311759
388	0.9064359929	0.2426193926
389	0.9065113999	0.2425209312
390	0.9065814208	0.2424218264
391	0.9066029657	0.2423214338
392	0.9066191243	0.2422366746
393	0.9066837589	0.2421396838
394	0.9067268487	0.2420569466
395	0.9067645522	0.2419595816
396	0.9067753247	0.2418606679
397	0.9068022557	0.241743771
398	0.9068399593	0.2416544417
399	0.9068992077	0.2415553454
400	0.9070069321	0.2414574947
401	0.906980001	0.2413637042
402	0.9070123183	0.2412478899
403	0.9070338632	0.2411511171
404	0.9070877253	0.2410540774
405	0.9071685186	0.2409553818
406	0.9072385395	0.2408501642
407	0.9072439257	0.2407416553
408	0.907324719	0.2406483984
409	0.9073785812	0.2405551393
410	0.9074378296	0.2404535661
411	0.9074432158	0.2403578167
412	0.9074539882	0.2402582155
413	0.9075670988	0.2401498851
414	0.9075886437	0.2400519503
415	0.9075186229	0.2399558007
416	0.9075832575	0.2398716159
417	0.9076155748	0.2397915558
418	0.9077071405	0.2397006306
419	0.9077394578	0.2396088478
420	0.9076748232	0.2395255773
421	0.9077125267	0.2394305523
422	0.9077825476	0.2393497878
423	0.9077394578	0.2392577889
424	0.9077717751	0.2391761552
425	0.9077717751	0.2390755225
426	0.9079010444	0.2389687774
427	0.9079064306	0.2388644024
428	0.9079118168	0.2387770686
429	0.9079118168	0.2386799663
430	0.9079926101	0.2385972423
431	0.9080087688	0.2384931575
432	0.9079926101	0.2384115338
433	0.9080087688	0.2383176055
434	0.9081057207	0.2382259259
435	0.9081218794	0.2381448852
436	0.9081919002	0.2380499658
437	0.9082403762	0.2379598771
438	0.9083319419	0.2378536641
439	0.9083534868	0.2377687698
440	0.9083911903	0.2376661854
441	0.9083265557	0.2375691472
442	0.9083050108	0.2374731397
443	0.9083319419	0.2373874874
444	0.908358873	0.2372902163
445	0.9084881422	0.2372037529
446	0.9084719836	0.2371221284
447	0.9086066391	0.2370166155
448	0.908703591	0.236927628
449	0.908579708	0.2368327162
450	0.9086766599	0.2367422969
451	0.9086874323	0.2366530927
452	0.9086766599	0.2365644361
453	0.908703591	0.2364767611
454	0.9088651776	0.2363761707
455	0.9088867224	0.2362946072
456	0.9089351984	0.2361996148
457	0.9089890606	0.2361111243
458	0.9090321503	0.2360172829
459	0.9090321503	0.2359284446
460	0.9090321503	0.2358330257
461	0.9090752401	0.2357397266
462	0.9091237161	0.2356588505
463	0.9091775782	0.2355585952
464	0.9091991231	0.2354578024
465	0.9092637577	0.2353776704
466	0.9093014613	0.2352907369
467	0.9093283924	0.2352044454
468	0.9093714821	0.2351150918
